"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"UK","normal",6,0,60,"none/unknown","2018-02-02 07:41:13.979",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 07:41:14.123",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 07:42:55.874",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 07:42:56.019",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 08:13:13.049",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 08:13:13.188",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 08:42:58.533",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 08:42:58.676",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 09:12:55.712",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 09:12:55.853",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 09:43:10.303",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 09:43:10.444",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 10:13:08.917",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 10:13:09.058",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 10:42:59.921",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 10:43:00.106",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 11:12:56.754",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 11:12:56.892",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 11:42:56.396",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 11:42:56.555",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 12:13:12.325",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 12:13:12.48",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 12:42:58.498",51.0963,1.13505,"stable"
